ALDER,A,Alder
CEDAR,A,Cedar
CHINQ,A,Chinquapin
HEMLOCK,A,Hemlock
MADRN,A,Madrone
MAPLE,A,Maple
PEPR,A,Pepperwood
TANOK,A,Tan Oak
CREEK,B,Creekside Lounge
FERN,B,Fern
LAUREL,B,Laurel
JUNIP,B,Juniper
WILLOW,B,Willow
JGC,C,Jolly Giant Commons
REDWO,D,Redwood
SUNST,D,Sunset
CYPRS,E,Cypress
FWH,F,Feuerwerker House
NHE,G,Nelson Hall East
NHW,G,Nelson Hall West
FH,H,Founders Hall
BRH,I,Brero House
HAH,I,Y.E.S House
LAPT,I,Little Apartments
BOOK,J,Bookstore
UC,J,University Center
HC,K,Student Health & Counseling
LIB,L,Library
VMH,M,Van Matre Hall
SH,N,Siemens Hall
RB,O,Redwood Bowl
MUSA,P,Music A
UPF,Q,Upper Playing Field
ARTB,R,Art B
MUSB,R,Music B
BALH,S,Multicultural Center
HH,S,Hadley House
RWC,T,Recreation & Wellness Center
TH,U,Telonicher House
ARTA,V,Art A
BHH,W,Bret Harte House
WH,W,Warren House
CERAM,X,Ceramics Lab
SCLPT,X,Sculpture Lab
GH,Y,Gist Hall
SCIA,Z,Science A
SRC,A2,Student Recreation Center
KA,B2,Kinesiology & Athletics
FGYM,C2,Forbes Gym
SCIB,D2,Science B
SCIC,D2,Science C
SCID,D2,Science D
SCIE,D2,Science E
SBS,E2,Student & Business Services
DELNO,F2,Del Norte
SHAST,E2,Shasta
CDL,G2,Child Development Lab
HGH,G2,Harry Griffith Hall
MENDO,H2,Mendocine
TRIN,H2,Trinity
CEF,I2,Campus Events Field
WDFS,J2,Wildlife  & Fisheries
WGP,K2,Wildlife Game Pens
MWCC,L2,Marince Wildlife Care Center
NR,M2,Natural Resources
FM,N2,Facilties Management
SR,N2,Shipping & Receiving 
BOAT,O2,Boat Facility
BSS,P2,Behavioral & Social Sciences
NAF,P2,Native American Forum
BH,Q2,Baiocchi House
MCOM,Q2,Marketing & Communications
MWH,Q2,Mary Warren House
TOD,Q2,Toddler Center
WWH,Q2,INRSEP House
FR,R2,Forestry
ANEX,S2,Trinity Annex
SERC,T2,Schatz Energy Research Center
